Euler1,Euler2,Euler3,n14,n14_noise,n16,n16_noise,n20,n20_noise,n24,n24_noise
0,63,140,0.014,0.523,0.004,0.543,0.002,2.696,0.001,0.347
0,63,147,0.001,2.957,0.155,2.14,0.006,3.68,0.002,0.053
0,63,154,0.001,4.953,0.0,0.626,0.002,5.869,0.001,4.193
0,63,161,0.034,0.81,0.133,1.272,0.063,4.854,0.033,1.863
0,63,168,0.001,4.05,0.001,0.413,0.016,0.949,0.08,2.297
0,63,175,0.001,5.17,0.001,6.207,0.003,1.523,0.12,0.445
0,70,0,0.001,2.94,0.001,1.198,0.001,0.642,0.001,0.467
0,70,7,0.152,4.527,0.215,0.764,0.244,6.139,0.225,1.771
0,70,14,0.001,5.279,0.03,6.292,0.196,4.191,0.001,3.26
0,70,21,0.128,6.936,0.001,5.653,0.016,0.39,0.001,1.089
0,70,28,0.044,0.103,0.001,1.218,0.207,3.17,0.088,0.725
0,70,35,0.201,4.933,0.002,3.586,0.222,4.71,0.001,2.69
0,70,42,0.236,0.831,0.23,1.903,0.202,8.241,0.192,4.292
0,70,49,0.007,0.426,0.001,2.958,0.0,0.297,0.001,7.177
0,70,56,0.0,5.323,0.259,5.016,0.001,1.791,0.001,4.499
0,70,63,0.002,7.071,0.09,2.543,0.192,0.366,0.116,4.866
0,70,70,0.003,3.583,0.001,0.985,0.001,0.279,0.001,3.374
0,70,77,0.236,1.389,0.008,0.619,0.126,5.091,0.114,7.838
0,70,84,0.237,1.465,0.001,1.85,0.229,4.934,0.001,4.185
0,70,91,0.042,4.992,0.179,0.736,0.155,0.557,0.136,2.318
0,70,98,0.222,1.582,0.001,3.105,0.129,5.85,0.189,1.994
0,70,105,0.191,0.951,0.175,5.292,0.209,1.351,0.001,5.609
0,70,112,0.25,2.712,0.001,5.065,0.228,0.775,0.204,3.863
0,70,119,0.001,3.654,0.0,2.083,0.002,5.188,0.17,2.889
0,70,126,0.001,4.609,0.001,1.022,0.152,2.535,0.001,2.294
0,70,133,0.001,1.441,0.007,4.048,0.0,0.303,0.241,5.732
0,70,140,0.0,1.292,0.001,1.163,0.0,0.959,0.15,7.752
0,70,147,0.038,3.03,0.001,4.494,0.001,1.77,0.002,1.298
0,70,154,0.002,0.891,0.001,4.2,0.187,2.174,0.174,3.992
0,70,161,0.192,2.995,0.199,4.476,0.194,3.888,0.171,3.286
0,70,168,0.214,5.119,0.237,5.986,0.007,0.721,0.001,4.362
0,70,175,0.228,3.437,0.226,0.966,0.148,1.819,0.011,4.973
0,77,0,0.0,0.226,0.266,4.899,0.296,2.357,0.22,1.199
0,77,7,0.202,0.423,0.003,1.511,0.279,2.435,0.284,0.621
0,77,14,0.4,4.189,0.481,8.774,0.263,0.622,0.232,6.839
0,77,21,0.012,0.636,0.136,0.971,0.255,5.481,0.242,4.298
0,77,28,0.338,3.564,0.245,1.5,0.284,6.362,0.267,0.082
0,77,35,0.304,0.143,0.305,4.894,0.319,2.191,0.301,4.032
0,77,42,0.212,1.012,0.282,1.943,0.228,6.613,0.27,1.782
0,77,49,0.227,2.457,0.303,3.08,0.273,5.357,0.264,2.394
0,77,56,0.323,2.188,0.29,13.289,0.303,5.813,0.215,1.512
0,77,63,0.312,5.337,0.303,3.085,0.24,5.326,0.283,1.637
0,77,70,0.331,6.6,0.305,4.549,0.293,2.878,0.267,4.002
0,77,77,0.019,1.723,0.272,5.944,0.272,3.641,0.242,3.113
0,77,84,0.27,4.103,0.311,5.361,0.259,0.963,0.251,2.442
0,77,91,0.221,4.23,0.152,6.242,0.269,3.683,0.185,6.43
0,77,98,0.333,5.462,0.283,4.621,0.258,2.748,0.251,3.231
0,77,105,0.25,0.823,0.271,2.39,0.253,6.204,0.298,5.201
0,77,112,0.197,0.653,0.286,3.179,0.241,13.383,0.271,4.354
0,77,119,0.323,1.45,0.183,4.421,0.287,2.33,0.237,2.102
0,77,126,0.295,1.42,0.289,1.051,0.242,1.897,0.278,0.316
0,77,133,0.291,7.586,0.223,8.185,0.247,1.396,0.271,6.989
0,77,140,0.298,6.555,0.313,1.214,0.329,4.032,0.287,5.451
0,77,147,0.254,1.756,0.29,5.167,0.244,7.337,0.266,4.206
0,77,154,0.323,4.647,0.0,1.243,0.288,5.423,0.22,0.513
0,77,161,0.322,0.99,0.289,9.547,0.298,1.965,0.271,3.152
0,77,168,0.332,3.192,0.001,3.223,0.262,1.04,0.284,0.601
0,77,175,0.259,4.364,0.236,2.286,0.177,1.045,0.236,3.43
0,84,0,0.007,3.861,0.354,5.787,0.328,1.723,0.278,4.506
0,84,7,0.315,1.508,0.329,1.476,0.313,1.051,0.274,2.839
0,84,14,0.001,6.0,0.291,0.232,0.256,2.916,0.279,0.864
0,84,21,0.013,3.978,0.057,1.968,0.372,6.037,0.278,4.361
0,84,28,0.362,5.719,0.337,2.038,0.002,5.571,0.292,2.72
0,84,35,0.346,8.069,0.373,7.366,0.317,6.533,0.331,6.0
0,84,42,0.0,1.131,0.338,3.564,0.268,6.88,0.343,3.379
0,84,49,0.343,7.764,0.266,5.612,0.295,4.871,0.314,3.133
0,84,56,0.432,3.88,0.315,5.725,0.301,7.807,0.299,6.005
0,84,63,0.367,4.121,0.348,7.047,0.315,4.214,0.33,6.041
0,84,70,0.187,6.121,0.007,5.772,0.294,7.488,0.297,4.516
0,84,77,0.241,2.562,0.286,6.001,0.381,2.258,0.329,8.581
0,84,84,0.163,3.411,0.268,5.797,0.292,5.577,0.311,0.589
0,84,91,0.072,4.537,0.319,7.589,0.287,2.413,0.244,6.013
